lineup,lineup_id,season
"Jessica Shepard, Lexie Brown, Napheesa Collier, Odyssey Sims, Sylvia Fowles",165,2019
"Allie Quigley, Courtney Vandersloot, Gabby Williams, Jantel Lavender, Stefanie Dolson",166,2019
"Allie Quigley, Courtney Vandersloot, Gabby Williams, Katie Lou Samuelson, Stefanie Dolson",167,2019
"Allie Quigley, Cheyenne Parker, Courtney Vandersloot, Gabby Williams, Katie Lou Samuelson",168,2019
"Cheyenne Parker, Courtney Vandersloot, Gabby Williams, Kahleah Copper, Katie Lou Samuelson",169,2019
"Allie Quigley, Cheyenne Parker, Courtney Vandersloot, Jantel Lavender, Katie Lou Samuelson",170,2019
"Damiris Dantas, Danielle Robinson, Jessica Shepard, Napheesa Collier, Odyssey Sims",171,2019
"Damiris Dantas, Danielle Robinson, Jessica Shepard, Lexie Brown, Napheesa Collier",172,2019
"Alaina Coates, Danielle Robinson, Jessica Shepard, Lexie Brown, Napheesa Collier",173,2019
"Allie Quigley, Courtney Vandersloot, Diamond DeShields, Jantel Lavender, Stefanie Dolson",174,2019
"Allie Quigley, Courtney Vandersloot, Jantel Lavender, Katie Lou Samuelson, Stefanie Dolson",175,2019
"Allie Quigley, Cheyenne Parker, Chloe Jackson, Courtney Vandersloot, Katie Lou Samuelson",176,2019
"Allie Quigley, Astou Ndour-Fall, Cheyenne Parker, Chloe Jackson, Katie Lou Samuelson",177,2019
"Allie Quigley, Astou Ndour-Fall, Cheyenne Parker, Chloe Jackson, Gabby Williams",178,2019
"Astou Ndour-Fall, Cheyenne Parker, Chloe Jackson, Diamond DeShields, Gabby Williams",179,2019
"Alaina Coates, Jessica Shepard, Lexie Brown, Napheesa Collier, Shao Ting",180,2019
"Alaina Coates, Jessica Shepard, Lexie Brown, Shao Ting, Stephanie Talbot",181,2019
"Allie Quigley, Cheyenne Parker, Courtney Vandersloot, Gabby Williams, Kahleah Copper",182,2019
"Allie Quigley, Courtney Vandersloot, Gabby Williams, Jantel Lavender, Kahleah Copper",183,2019
"Chloe Jackson, Courtney Vandersloot, Gabby Williams, Jantel Lavender, Kahleah Copper",184,2019
"Chloe Jackson, Gabby Williams, Jantel Lavender, Kahleah Copper, Katie Lou Samuelson",185,2019
"Astou Ndour-Fall, Chloe Jackson, Jantel Lavender, Kahleah Copper, Katie Lou Samuelson",186,2019
"A'ja Wilson, Carolyn Swords, Jackie Young, Kayla McBride, Kelsey Plum",187,2019
"Alana Beard, Chelsea Gray, Maria Vadeeva, Nneka Ogwumike, Tierra Ruffin-Pratt",188,2019
"Alana Beard, Chelsea Gray, Chiney Ogwumike, Nneka Ogwumike, Tierra Ruffin-Pratt",189,2019
"A'ja Wilson, Carolyn Swords, Jackie Young, Kayla McBride, Tamera Young",190,2019
"Alana Beard, Chelsea Gray, Chiney Ogwumike, Kalani Brown, Tierra Ruffin-Pratt",191,2019
"A'ja Wilson, Dearica Hamby, Jackie Young, Kayla McBride, Tamera Young",192,2019
"Chelsea Gray, Chiney Ogwumike, Kalani Brown, Riquna Williams, Tierra Ruffin-Pratt",193,2019
"A'ja Wilson, Dearica Hamby, Kayla McBride, Sydney Colson, Tamera Young",194,2019
"Alexis Jones, Chiney Ogwumike, Kalani Brown, Riquna Williams, Tierra Ruffin-Pratt",195,2019
"A'ja Wilson, Dearica Hamby, Sugar Rodgers, Sydney Colson, Tamera Young",196,2019
"Alexis Jones, Chiney Ogwumike, Kalani Brown, Marina Mabrey, Riquna Williams",197,2019
"Dearica Hamby, JiSu Park, Sugar Rodgers, Sydney Colson, Tamera Young",198,2019
"Chelsea Gray, Chiney Ogwumike, Kalani Brown, Marina Mabrey, Riquna Williams",199,2019
"A'ja Wilson, JiSu Park, Sugar Rodgers, Sydney Colson, Tamera Young",200,2019
"Chelsea Gray, Chiney Ogwumike, Maria Vadeeva, Marina Mabrey, Riquna Williams",201,2019
"A'ja Wilson, Jackie Young, JiSu Park, Sugar Rodgers, Sydney Colson",202,2019
"Chelsea Gray, Chiney Ogwumike, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike",203,2019
"A'ja Wilson, Carolyn Swords, Jackie Young, Sugar Rodgers, Sydney Colson",204,2019
"Alana Beard, Chelsea Gray, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike",205,2019
"A'ja Wilson, Carolyn Swords, Jackie Young, Kayla McBride, Sydney Colson",206,2019
"A'ja Wilson, Dearica Hamby, Jackie Young, Kayla McBride, Kelsey Plum",207,2019
"A'ja Wilson, Dearica Hamby, Jackie Young, Kayla McBride, Sydney Colson",208,2019
"Alana Beard, Chelsea Gray, Chiney Ogwumike, Maria Vadeeva, Tierra Ruffin-Pratt",209,2019
"Alana Beard, Chelsea Gray, Chiney Ogwumike, Maria Vadeeva, Riquna Williams",210,2019
"Alana Beard, Chelsea Gray, Chiney Ogwumike, Kalani Brown, Riquna Williams",211,2019
"Alana Beard, Chiney Ogwumike, Kalani Brown, Marina Mabrey, Riquna Williams",212,2019
"A'ja Wilson, Dearica Hamby, Jackie Young, Sugar Rodgers, Sydney Colson",213,2019
"Alexis Jones, Kalani Brown, Maria Vadeeva, Marina Mabrey, Riquna Williams",214,2019
"Carolyn Swords, Dearica Hamby, Sugar Rodgers, Sydney Colson, Tamera Young",215,2019
"Alexis Jones, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike, Riquna Williams",216,2019
"Chelsea Gray, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike, Riquna Williams",217,2019
"A'ja Wilson, Dearica Hamby, Kelsey Plum, Sugar Rodgers, Tamera Young",218,2019
"Chelsea Gray, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike, Tierra Ruffin-Pratt",219,2019
"A'ja Wilson, Dearica Hamby, Kayla McBride, Kelsey Plum, Tamera Young",220,2019
"Alexis Jones, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike, Tierra Ruffin-Pratt",221,2019
"A'ja Wilson, JiSu Park, Kayla McBride, Kelsey Plum, Tamera Young",222,2019
"Alexis Jones, Kalani Brown, Maria Vadeeva, Marina Mabrey, Nneka Ogwumike",223,2019
"A'ja Wilson, Jackie Young, JiSu Park, Kayla McBride, Kelsey Plum",224,2019
"Alexis Jones, Kalani Brown, Maria Vadeeva, Marina Mabrey, Sydney Wiese",225,2019
"A'ja Wilson, Jackie Young, JiSu Park, Kayla McBride, Sydney Colson",226,2019
"Carolyn Swords, Jackie Young, JiSu Park, Kayla McBride, Sydney Colson",227,2019
"Alyssa Thomas, Jasmine Thomas, Jonquel Jones, Layshia Clarendon, Shekinna Stricklen",228,2019
"Alyssa Thomas, Brionna Jones, Jasmine Thomas, Layshia Clarendon, Shekinna Stricklen",229,2019
"Betnijah Laney, Candice Dupree, Kelsey Mitchell, Teaira McCowan, Tiffany Mitchell",230,2019
"Alyssa Thomas, Brionna Jones, Jasmine Thomas, Layshia Clarendon, Morgan Tuck",231,2019
"Betnijah Laney, Candice Dupree, Shenise Johnson, Teaira McCowan, Tiffany Mitchell",232,2019
"Betnijah Laney, Erica Wheeler, Shenise Johnson, Teaira McCowan, Tiffany Mitchell",233,2019
"Bria Holmes, Brionna Jones, Jasmine Thomas, Layshia Clarendon, Morgan Tuck",234,2019
"Alyssa Thomas, Bria Holmes, Brionna Jones, Layshia Clarendon, Morgan Tuck",235,2019
"Alyssa Thomas, Brionna Jones, Courtney Williams, Jonquel Jones, Layshia Clarendon",236,2019
"Betnijah Laney, Erica Wheeler, Natalie Achonwa, Shenise Johnson, Tiffany Mitchell",237,2019
"Alyssa Thomas, Courtney Williams, Jonquel Jones, Layshia Clarendon, Shekinna Stricklen",238,2019
"Betnijah Laney, Erica Wheeler, Shenise Johnson, Stephanie Mavunga, Tiffany Mitchell",239,2019
"Alyssa Thomas, Courtney Williams, Jasmine Thomas, Jonquel Jones, Layshia Clarendon",240,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Stephanie Mavunga, Tiffany Mitchell",241,2019
"Candice Dupree, Erica Wheeler, Kelsey Mitchell, Stephanie Mavunga, Tiffany Mitchell",242,2019
"Alyssa Thomas, Jasmine Thomas, Jonquel Jones, Rachel Banham, Shekinna Stricklen",243,2019
"Alyssa Thomas, Brionna Jones, Jasmine Thomas, Rachel Banham, Shekinna Stricklen",244,2019
"Candice Dupree, Erica Wheeler, Shenise Johnson, Stephanie Mavunga, Tiffany Mitchell",245,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Shenise Johnson, Stephanie Mavunga",246,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Kelsey Mitchell, Stephanie Mavunga",247,2019
"Alyssa Thomas, Bria Holmes, Brionna Jones, Jasmine Thomas, Rachel Banham",248,2019
"Bria Holmes, Brionna Jones, Jasmine Thomas, Morgan Tuck, Rachel Banham",249,2019
"Bria Holmes, Jonquel Jones, Layshia Clarendon, Morgan Tuck, Rachel Banham",250,2019
"Bria Holmes, Courtney Williams, Jonquel Jones, Layshia Clarendon, Morgan Tuck",251,2019
"Alyssa Thomas, Bria Holmes, Courtney Williams, Jonquel Jones, Layshia Clarendon",252,2019
"Alyssa Thomas, Bria Holmes, Courtney Williams, Jasmine Thomas, Jonquel Jones",253,2019
"Candice Dupree, Erica Wheeler, Kelsey Mitchell, Shenise Johnson, Stephanie Mavunga",254,2019
"Damiris Dantas, Danielle Robinson, Lexie Brown, Napheesa Collier, Odyssey Sims",255,2019
"Crystal Langhorne, Jewell Loyd, Kaleena Mosqueda-Lewis, Natasha Howard, Shavonte Zellous",256,2019
"Anriel Howard, Crystal Langhorne, Jewell Loyd, Natasha Howard, Shavonte Zellous",257,2019
"Anriel Howard, Jewell Loyd, Mercedes Russell, Natasha Howard, Shavonte Zellous",258,2019
